date, registeredUsers, appOpens
2019-2Q,Oppo,8757,0.11715677093088593
2019-2Q,Realme,4015,0.05371524897653386
2019-2Q,Motorola,1926,0.0257672651379338
2019-2Q,Lenovo,1740,0.023278837663553903
2019-2Q,Huawei,1622,0.021700157867979557
2019-2Q,Apple,1607,0.02149947823294892
2019-2Q,Micromax,1521,0.0203489149921066
2019-2Q,Others,10736,0.14363310411259467
2019-1Q,Xiaomi,15243,0.24790606144388244
2019-1Q,Samsung,11907,0.1936506903898385
2019-1Q,Vivo,7947,0.12924683266381512
2019-1Q,Oppo,6915,0.11246279701400295
2019-1Q,Realme,3316,0.053930099045326654
2019-1Q,Motorola,1658,0.026965049522663327
2019-1Q,Lenovo,1461,0.023761120236798022
2019-1Q,Apple,1365,0.02219981459495503
2019-1Q,Huawei,1316,0.02140289817359767
2019-1Q,Micromax,1298,0.02111015336575211
2019-1Q,Others,9061,0.14736448354936815
2023-4Q,null,null,null
2023-3Q,null,null,null
2023-2Q,null,null,null
2023-1Q,null,null,null
2018-4Q,Xiaomi,12391,0.2496474191078696
2018-4Q,Samsung,9662,0.19466494741507837
2018-4Q,Vivo,6164,0.12418906394810009
2018-4Q,Oppo,5306,0.10690252649393561
2018-4Q,Realme,2710,0.05459966958133537
2018-4Q,Motorola,1447,0.029153402909296047
2018-4Q,Lenovo,1261,0.02540597171293871
2018-4Q,Apple,1138,0.022927831728250796
2018-4Q,Asus,1055,0.02125559092557521
2018-4Q,Micromax,1051,0.02117500100737398
2018-4Q,Others,7449,0.1500785751702462
2018-3Q,Xiaomi,9247,0.24803519218905073
2018-3Q,Samsung,7096,0.19033824199994637
2018-3Q,Vivo,4323,0.11595718998953891
2018-3Q,Oppo,3817,0.10238459268796438
2018-3Q,Realme,1993,0.053458866446715485
2018-3Q,Motorola,1170,0.03138327834553794
2018-3Q,Lenovo,958,0.025696735602585768
2018-3Q,Apple,908,0.02435556986132346
2018-3Q,Micromax,900,0.024140983342721495
2018-3Q,Asus,784,0.021029478822992945
2018-3Q,Others,6085,0.16321987071162256
2018-2Q,Xiaomi,6618,0.24862874746412203
2018-2Q,Samsung,4962,0.18641520775415132
2018-2Q,Vivo,2798,0.10511683822976933
2018-2Q,Oppo,2671,0.1003456307761665
2018-2Q,Realme,1478,0.055526335562401385
2018-2Q,Motorola,917,0.034450371928770006
2018-2Q,Lenovo,808,0.03035539860244947
2018-2Q,Apple,711,0.02671124802765046
2018-2Q,Micromax,667,0.025058231272071532
2018-2Q,Asus,556,0.02088812082049741
2018-2Q,Others,4432,0.16650386956195057
2018-1Q,Xiaomi,4528,0.24458488629611624
2018-1Q,Samsung,3411,0.18424890617403986
2018-1Q,Vivo,1869,0.10095608491330417
2018-1Q,Oppo,1779,0.09609463620158808
